source_journal_name,target_journal_name,source_count,target_count,group_total_count,confidence,reason,generated_date
NatureActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Nature,855,442968,443823,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
nature,Nature,9,442968,442977,high,case_only,2026-05-12
BMJActionsSearch in PubMedSearch in NLM CatalogAdd to Search,BMJ,170,432798,432968,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
ScienceActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Science,282,379812,380094,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
science,Science,109,379812,379921,high,case_only,2026-05-12
PLoS OneActionsSearch in PubMedSearch in NLM CatalogAdd to Search,PLoS ONE,779,328351,329130,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
PLOS ONE,PLoS ONE,19,328351,328370,high,case_only,2026-05-12
Reactions weekly,Reactions Weekly,2868,273048,275916,high,case_only,2026-05-12
bioRxivActionsSearch in PubMedSearch in NLM CatalogAdd to Search,bioRxiv,19884,204857,224741,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
AIP Conference Proceedings,AIP conference proceedings,425,198170,198595,high,case_only,2026-05-12
AIP.Conference.Proceedings.,AIP conference proceedings,1,198170,198171,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Physics Conference Series,Journal of Physics: Conference Series,4084,193884,197968,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
"Journal of Physics, Conference Series",Journal of Physics: Conference Series,3,193884,193887,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
BloodActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Blood,182,191627,191809,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
scientific american,Scientific American,47,183832,183879,high,case_only,2026-05-12
Journal of the Acoustical Society of America,The Journal of the Acoustical Society of America,942,164064,165006,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Journal of Clinical Oncology,Journal of Clinical Oncology,7,161983,161990,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
GASTROENTEROLOGY,Gastroenterology,79,150001,150080,high,case_only,2026-05-12
GastroenterologyActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Gastroenterology,26,150001,150027,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Chemical &amp; Engineering News,Chemical & Engineering News,1475,146043,147518,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Medical Journal of Australia,Medical Journal of Australia,60068,87063,147131,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Physical review B,Physical Review B,663,146021,146684,high,case_only,2026-05-12
"Physical review, B",Physical Review B,406,146021,146427,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Urology,The Journal of Urology,56371,89564,145935,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Chemical Physics,The Journal of Chemical Physics,389,145236,145625,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Physical review letters,Physical Review Letters,23,140604,140627,high,case_only,2026-05-12
Advanced materials research,Advanced Materials Research,4513,134282,138795,high,case_only,2026-05-12
JAMAActionsSearch in PubMedSearch in NLM CatalogAdd to Search,JAMA,3113,130210,133323,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
American Historical Review,The American Historical Review,27,129077,129104,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Astrophysical Journal,The Astrophysical Journal,503,125013,125516,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The astrophysical journal,The Astrophysical Journal,171,125013,125184,high,case_only,2026-05-12
The Astrophysical journal,The Astrophysical Journal,7,125013,125020,high,case_only,2026-05-12
The New England Journal of Medicine,New England Journal of Medicine,738,121286,122024,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The New England journal of medicine,New England Journal of Medicine,87,121286,121373,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
cancer-research,Cancer Research,6,119591,119597,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
JAMA: the Journal of the American Medical Association,JAMA: The Journal of the American Medical Association,2,110959,110961,high,case_only,2026-05-12
The Oxford Dictionary of National Biography,Oxford Dictionary of National Biography,46426,59162,105588,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
IEEE AccessActionsSearch in PubMedSearch in NLM CatalogAdd to Search,IEEE Access,3,104578,104581,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Immunology,The Journal of Immunology,3938,99935,103873,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
CureusActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Cureus,537,102545,103082,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Organic Chemistry,The Journal of Organic Chemistry,337,98769,99106,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Nursing standard,Nursing Standard,1,98641,98642,high,case_only,2026-05-12
CirculationActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Circulation,27,95188,95215,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Medicine and Science in Sports and Exercise,Medicine & Science in Sports & Exercise,21095,52544,73639,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Medicine &amp; Science in Sports &amp; Exercise,Medicine & Science in Sports & Exercise,18515,52544,71059,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Medicine&amp; Science in Sports &amp; Exercise,Medicine & Science in Sports & Exercise,39,52544,52583,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Medicine &amp; Science in sports &amp; Exercise,Medicine & Science in Sports & Exercise,8,52544,52552,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Medicine and science in sports and exercise,Medicine & Science in Sports & Exercise,7,52544,52551,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
NeurologyActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Neurology,353,90581,90934,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
American Journal of Gastroenterology,The American Journal of Gastroenterology,6616,83601,90217,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Monthly notices of the Royal Astronomical Society,Monthly Notices of the Royal Astronomical Society,9914,79188,89102,high,case_only,2026-05-12
Applied sciences,Applied Sciences,196,84059,84255,high,case_only,2026-05-12
Science of The Total Environment,The Science of The Total Environment,27529,53950,81479,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Science of the Total Environment,The Science of The Total Environment,153,53950,54103,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
"International Journal of Radiation Oncology, Biology, Physics",International Journal of Radiation Oncology*Biology*Physics,4841,75190,80031,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
International Journal of Radiation Oncology Biology Physics,International Journal of Radiation Oncology*Biology*Physics,3,75190,75193,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
ChestActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Chest,932,78117,79049,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Plastic and reconstructive surgery,Plastic and Reconstructive Surgery,1687,72698,74385,high,case_only,2026-05-12
Plastic &amp; Reconstructive Surgery,Plastic and Reconstructive Surgery,1102,72698,73800,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Plastic & Reconstructive Surgery,Plastic and Reconstructive Surgery,814,72698,73512,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Plastic and Reconstructive surgery,Plastic and Reconstructive Surgery,155,72698,72853,high,case_only,2026-05-12
Plastic And Reconstructive Surgery,Plastic and Reconstructive Surgery,70,72698,72768,high,case_only,2026-05-12
DMW Deutsche Medizinische Wochenschrift,DMW - Deutsche Medizinische Wochenschrift,1,76022,76023,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Acta horticulturae,Acta Horticulturae,36,74679,74715,high,case_only,2026-05-12
Chemical communications,Chemical Communications,138,72003,72141,high,case_only,2026-05-12
BiochemistryActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Biochemistry,56,71276,71332,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Chemical Engineering Journal,Chemical Engineering Journal,1882,68459,70341,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The American journal of the Medical Sciences,The American Journal of the Medical Sciences,811,64943,65754,high,case_only,2026-05-12
The American Journal of The Medical Sciences,The American Journal of the Medical Sciences,422,64943,65365,high,case_only,2026-05-12
the american journal of the medical sciences,The American Journal of the Medical Sciences,417,64943,65360,high,case_only,2026-05-12
THE AMERICAN JOURNAL OF THE MEDICAL SCIENCES,The American Journal of the Medical Sciences,151,64943,65094,high,case_only,2026-05-12
The American Journal Of The Medical Sciences,The American Journal of the Medical Sciences,97,64943,65040,high,case_only,2026-05-12
American Journal of the Medical Sciences,The American Journal of the Medical Sciences,23,64943,64966,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
ACS Applied Materials and Interfaces,ACS Applied Materials & Interfaces,30066,33260,63326,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
ACS Applied Materials &amp; Interfaces,ACS Applied Materials & Interfaces,231,33260,33491,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
European heart journal,European Heart Journal,1,62802,62803,high,case_only,2026-05-12
MoleculesActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Molecules,180,62520,62700,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
molecules,Molecules,1,62520,62521,high,case_only,2026-05-12
Boston Medical and Surgical Journal,The Boston Medical and Surgical Journal,9,61416,61425,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Boston medical and surgical journal,The Boston Medical and Surgical Journal,1,61416,61417,high,case_only,2026-05-12
RadiologyActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Radiology,41,61044,61085,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Applied optics,Applied Optics,190,59853,60043,high,case_only,2026-05-12
Environmental Science and Technology,Environmental Science & Technology,11077,48213,59290,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Environmental Science &amp; Technology,Environmental Science & Technology,185,48213,48398,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Annals of Internal Medicine,Annals of Internal Medicine,4,59005,59009,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
PEDIATRICS,Pediatrics,24720,31939,56659,high,case_only,2026-05-12
PediatricsActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Pediatrics,2221,31939,34160,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
E3S web of conferences,E3S Web of Conferences,75,58503,58578,high,case_only,2026-05-12
LangmuirActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Langmuir,109,58411,58520,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
AJN American Journal of Nursing,"AJN, American Journal of Nursing",190,57760,57950,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
"AJN, American Journal Of Nursing","AJN, American Journal of Nursing",144,57760,57904,high,case_only,2026-05-12
"AJN, AMERICAN JOURNAL OF NURSING","AJN, American Journal of Nursing",54,57760,57814,high,case_only,2026-05-12
The Biochemical Journal,Biochemical Journal,49,57873,57922,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
medRxivActionsSearch in PubMedSearch in NLM CatalogAdd to Search,medRxiv,2860,54905,57765,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of the Franklin institute,Journal of the Franklin Institute,1,57503,57504,high,case_only,2026-05-12
AnesthesiologyActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Anesthesiology,104,56211,56315,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Physical review. E,Physical Review E,10267,45494,55761,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
"Physical review, E",Physical Review E,12,45494,45506,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
International journal of hydrogen energy,International Journal of Hydrogen Energy,10525,45160,55685,high,case_only,2026-05-12
Journal of Physical Chemistry C,The Journal of Physical Chemistry C,1516,54060,55576,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
MATERIALS,Materials,57,55294,55351,high,case_only,2026-05-12
materials,Materials,5,55294,55299,high,case_only,2026-05-12
Journal of The American Academy of Dermatology,Journal of the American Academy of Dermatology,16,55051,55067,high,case_only,2026-05-12
The Journal of Allergy and Clinical Immunology,Journal of Allergy and Clinical Immunology,47,54268,54315,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Journal of Hepatology,Journal of Hepatology,2,54159,54161,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
American Journal of Cardiology,The American Journal of Cardiology,51,54039,54090,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Critical care Medicine,Critical Care Medicine,23,53847,53870,high,case_only,2026-05-12
Critical care medicine,Critical Care Medicine,23,53847,53870,high,case_only,2026-05-12
Journal of the Electrochemical Society,Journal of The Electrochemical Society,5067,48250,53317,high,case_only,2026-05-12
Nuclear Instruments and Methods in Physics Research Section A Accelerators Spectrometers Detectors and Associated Equipment,"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",2177,50778,52955,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
"Nuclear Instruments and Methods in Physics Research Section A : Accelerators, Spectrometers, Detectors and Associated Equipment","Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",42,50778,50820,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Nuclear Instruments & Methods in Physics Research Section A-accelerators Spectrometers Detectors and Associated Equipment,"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",22,50778,50800,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
"Nuclear Instruments and Methods in Physics Research, Section A. Accelerators, Spectrometers, Detectors and Associated Equipment","Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",3,50778,50781,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
MEDICINE,Medicine,23,52985,53008,high,case_only,2026-05-12
medicine,Medicine,3,52985,52988,high,case_only,2026-05-12
TransplantationActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Transplantation,57,52415,52472,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
TRANSPLANTATION,Transplantation,42,52415,52457,high,case_only,2026-05-12
CancerActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Cancer,22,52342,52364,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Physics today,Physics Today,1782,50192,51974,high,case_only,2026-05-12
The Journal of Virology,Journal of Virology,2,51246,51248,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
EndocrinologyActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Endocrinology,90,51054,51144,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Journal of Clinical Endocrinology & Metabolism,The Journal of Clinical Endocrinology &amp; Metabolism,21231,28617,49848,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Journal of Clinical Endocrinology and Metabolism,The Journal of Clinical Endocrinology &amp; Metabolism,905,28617,29522,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Clinical Endocrinology &amp; Metabolism,The Journal of Clinical Endocrinology &amp; Metabolism,169,28617,28786,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Clinical Endocrinology and Metabolism,The Journal of Clinical Endocrinology &amp; Metabolism,133,28617,28750,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Clinical Endocrinology & Metabolism,The Journal of Clinical Endocrinology &amp; Metabolism,9,28617,28626,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
"Physics Letters, A",Physics Letters A,1,50834,50835,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Physical Chemistry B,The Journal of Physical Chemistry B,201,50425,50626,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
British journal of surgery,British Journal of Surgery,19891,30617,50508,high,case_only,2026-05-12
The British Journal of Surgery,British Journal of Surgery,9,30617,30626,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The New Scientist,New Scientist,14432,35790,50222,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
New scientist,New Scientist,3,35790,35793,high,case_only,2026-05-12
Fresenius Zeitschrift für Analytische Chemie,Fresenius' Zeitschrift für analytische Chemie,377,49707,50084,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Fresenius' Zeitschrift für Analytische Chemie,Fresenius' Zeitschrift für analytische Chemie,58,49707,49765,high,case_only,2026-05-12
Fresenius’ Zeitschrift für Analytische Chemie,Fresenius' Zeitschrift für analytische Chemie,18,49707,49725,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
MacromoleculesActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Macromolecules,8,50090,50098,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Physical Chemistry,The Journal of Physical Chemistry,18,49718,49736,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
English Historical Review,The English Historical Review,31,49588,49619,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Veterinary Record,Veterinary Record,1624,47871,49495,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
ChemosphereActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Chemosphere,105,49111,49216,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts,International Journal of Rock Mechanics and Mining Sciences &amp; Geomechanics Abstracts,4490,44581,49071,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Journal of pediatrics,The Journal of Pediatrics,3,49023,49026,high,case_only,2026-05-12
Frontiers in Psychology.,Frontiers in Psychology,1,48348,48349,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
American Mathematical Monthly,The American Mathematical Monthly,1029,46657,47686,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The American mathematical monthly,The American Mathematical Monthly,511,46657,47168,high,case_only,2026-05-12
The American Journal of Psychiatry,American Journal of Psychiatry,1,48025,48026,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
SOUTHERN MEDICAL JOURNAL,Southern Medical Journal,138,47801,47939,high,case_only,2026-05-12
Southern Medical journal,Southern Medical Journal,40,47801,47841,high,case_only,2026-05-12
ZootaxaActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Zootaxa,18,47685,47703,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Annals of Thoracic Surgery,The Annals of Thoracic Surgery,7,47370,47377,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Annals of thoracic surgery.,The Annals of Thoracic Surgery,6,47370,47376,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Astronomy & Astrophysics,Astronomy and Astrophysics,3147,44092,47239,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Astronomy &amp; Astrophysics,Astronomy and Astrophysics,78,44092,44170,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Astronomy and astrophysics,Astronomy and Astrophysics,1,44092,44093,high,case_only,2026-05-12
Journal of education,Journal of Education,398,46137,46535,high,case_only,2026-05-12
Journal of education.,Journal of Education,83,46137,46220,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal Of Education,Journal of Education,64,46137,46201,high,case_only,2026-05-12
IEEE transactions on magnetics,IEEE Transactions on Magnetics,2036,44269,46305,high,case_only,2026-05-12
Experimental biology and medicine,Experimental Biology and Medicine,727,45571,46298,high,case_only,2026-05-12
